year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,558,600,-2,709,727,-18,DL,1,N957DN,DAB,ATL,57,366,6,0,2018-01-01T06:00:00Z
2018,1,1,704,710,-6,820,842,-22,DL,4,N946DL,DAB,ATL,60,366,7,10,2018-01-01T07:00:00Z
2018,1,1,708,700,8,834,839,-5,OH,9,N568NN,DAB,CLT,66,416,7,0,2018-01-01T07:00:00Z
2018,1,1,1051,1055,-4,1233,1237,-4,OH,8,N579NN,DAB,CLT,70,416,10,55,2018-01-01T10:00:00Z
2018,1,1,1156,1140,16,1801,1316,NA,DL,5,N946DL,DAB,ATL,NA,366,11,40,2018-01-01T11:00:00Z
2018,1,1,1236,1154,42,1453,1417,36,B6,1,N624JB,DAB,JFK,117,891,11,54,2018-01-01T11:00:00Z
2018,1,1,1400,1407,-7,1528,1543,-15,DL,3,N975DL,DAB,ATL,59,366,14,7,2018-01-01T14:00:00Z
2018,1,1,1508,1519,-11,1650,1700,-10,OH,10,N537EA,DAB,CLT,66,416,15,19,2018-01-01T15:00:00Z
2018,1,1,2025,1949,36,2137,2129,8,OH,7,N556NN,DAB,CLT,61,416,19,49,2018-01-01T19:00:00Z
2018,1,2,556,600,-4,708,727,-19,DL,1,N904DA,DAB,ATL,58,366,6,0,2018-01-02T06:00:00Z
2018,1,2,657,700,-3,827,839,-12,OH,9,N565NN,DAB,CLT,68,416,7,0,2018-01-02T07:00:00Z
2018,1,2,705,710,-5,822,842,-20,DL,4,N905DL,DAB,ATL,56,366,7,10,2018-01-02T07:00:00Z
2018,1,2,1055,1055,0,1225,1237,-12,OH,8,N586NN,DAB,CLT,66,416,10,55,2018-01-02T10:00:00Z
2018,1,2,1136,1140,-4,1254,1316,-22,DL,5,N907DE,DAB,ATL,58,366,11,40,2018-01-02T11:00:00Z
2018,1,2,1142,1154,-12,1351,1417,-26,B6,1,N657JB,DAB,JFK,116,891,11,54,2018-01-02T11:00:00Z
2018,1,2,1406,1407,-1,1538,1543,-5,DL,3,N900DE,DAB,ATL,61,366,14,7,2018-01-02T14:00:00Z
2018,1,2,1530,1519,11,1712,1700,12,OH,10,N518AE,DAB,CLT,72,416,15,19,2018-01-02T15:00:00Z
2018,1,2,1746,1751,-5,1913,1926,-13,DL,6,N983DL,DAB,ATL,63,366,17,51,2018-01-02T17:00:00Z
2018,1,2,2010,1949,21,2136,2129,7,OH,7,N584NN,DAB,CLT,66,416,19,49,2018-01-02T19:00:00Z
2018,1,3,653,655,-2,807,820,-13,DL,4,N3748Y,DAB,ATL,56,366,6,55,2018-01-03T06:00:00Z
2018,1,3,700,700,0,836,839,-3,OH,9,N593NN,DAB,CLT,67,416,7,0,2018-01-03T07:00:00Z
2018,1,3,1106,1055,11,1322,1237,45,OH,8,N580NN,DAB,CLT,62,416,10,55,2018-01-03T10:00:00Z
2018,1,3,1151,1139,12,1304,1313,-9,DL,5,N961DL,DAB,ATL,54,366,11,39,2018-01-03T11:00:00Z
2018,1,3,1159,1154,5,1402,1417,-15,B6,1,N563JB,DAB,JFK,107,891,11,54,2018-01-03T11:00:00Z
2018,1,3,1408,1409,-1,1525,1544,-19,DL,3,N983DL,DAB,ATL,57,366,14,9,2018-01-03T14:00:00Z
2018,1,3,1527,1519,8,1647,1700,-13,OH,10,N710PS,DAB,CLT,65,416,15,19,2018-01-03T15:00:00Z
2018,1,3,1722,1730,-8,1841,1904,-23,DL,6,N903DE,DAB,ATL,57,366,17,30,2018-01-03T17:00:00Z
2018,1,3,2039,1949,50,2203,2129,34,OH,7,N583NN,DAB,CLT,65,416,19,49,2018-01-03T19:00:00Z
2018,1,4,804,700,64,1034,839,115,OH,9,N592NN,DAB,CLT,68,416,7,0,2018-01-04T07:00:00Z
2018,1,4,1017,655,202,1151,820,211,DL,4,N850DN,DAB,ATL,66,366,6,55,2018-01-04T06:00:00Z
2018,1,4,1056,1055,1,1224,1237,-13,OH,8,N594NN,DAB,CLT,72,416,10,55,2018-01-04T10:00:00Z
2018,1,4,1130,1139,-9,1304,1313,-9,DL,5,N913DL,DAB,ATL,67,366,11,39,2018-01-04T11:00:00Z
2018,1,4,1409,1409,0,1539,1544,-5,DL,3,N953DL,DAB,ATL,66,366,14,9,2018-01-04T14:00:00Z
2018,1,4,1506,1519,-13,1643,1700,-17,OH,10,N539EA,DAB,CLT,69,416,15,19,2018-01-04T15:00:00Z
2018,1,4,1822,1730,52,1945,1904,41,DL,6,N943DL,DAB,ATL,66,366,17,30,2018-01-04T17:00:00Z
2018,1,4,1935,1949,-14,2105,2129,-24,OH,7,N600NN,DAB,CLT,71,416,19,49,2018-01-04T19:00:00Z
2018,1,4,NA,1125,NA,NA,1344,NA,B6,1,N589JB,DAB,JFK,NA,891,11,25,2018-01-04T11:00:00Z
2018,1,5,651,655,-4,808,820,-12,DL,4,N857DZ,DAB,ATL,60,366,6,55,2018-01-05T06:00:00Z
2018,1,5,1129,1055,34,1254,1237,17,OH,8,N598NN,DAB,CLT,68,416,10,55,2018-01-05T10:00:00Z
2018,1,5,1131,1139,-8,1255,1313,-18,DL,5,N944DL,DAB,ATL,61,366,11,39,2018-01-05T11:00:00Z
2018,1,5,1503,1409,54,1625,1544,41,DL,3,N991DL,DAB,ATL,60,366,14,9,2018-01-05T14:00:00Z
2018,1,5,1647,1519,88,1815,1700,75,OH,10,N725PS,DAB,CLT,66,416,15,19,2018-01-05T15:00:00Z
2018,1,5,1722,1730,-8,1848,1904,-16,DL,6,N910DE,DAB,ATL,62,366,17,30,2018-01-05T17:00:00Z
2018,1,5,2256,1949,187,12,2129,163,OH,7,N595NN,DAB,CLT,61,416,19,49,2018-01-05T19:00:00Z
2018,1,5,NA,1125,NA,NA,1344,NA,B6,1,N608JB,DAB,JFK,NA,891,11,25,2018-01-05T11:00:00Z
2018,1,5,NA,700,NA,NA,839,NA,OH,9,N575NN,DAB,CLT,NA,416,7,0,2018-01-05T07:00:00Z
2018,1,6,653,655,-2,814,819,-5,DL,4,N849DN,DAB,ATL,57,366,6,55,2018-01-06T06:00:00Z
2018,1,6,654,700,-6,828,839,-11,OH,9,N593NN,DAB,CLT,68,416,7,0,2018-01-06T07:00:00Z
2018,1,6,1106,1055,11,1228,1237,-9,OH,8,N562NN,DAB,CLT,66,416,10,55,2018-01-06T10:00:00Z
2018,1,6,1217,1125,52,1429,1344,45,B6,1,N794JB,DAB,JFK,112,891,11,25,2018-01-06T11:00:00Z
2018,1,6,1255,1139,76,1417,1311,66,DL,5,N934DL,DAB,ATL,60,366,11,39,2018-01-06T11:00:00Z
2018,1,6,1528,1519,9,1651,1700,-9,OH,10,N719PS,DAB,CLT,72,416,15,19,2018-01-06T15:00:00Z
2018,1,6,1545,1600,-15,1706,1730,-24,DL,2,N966DL,DAB,ATL,59,366,16,0,2018-01-06T16:00:00Z
2018,1,6,1955,1949,6,2129,2129,0,OH,7,N577NN,DAB,CLT,71,416,19,49,2018-01-06T19:00:00Z
2018,1,7,652,655,-3,807,820,-13,DL,4,N848DN,DAB,ATL,59,366,6,55,2018-01-07T06:00:00Z
2018,1,7,659,700,-1,836,839,-3,OH,9,N583NN,DAB,CLT,72,416,7,0,2018-01-07T07:00:00Z
2018,1,7,1118,1055,23,1252,1237,15,OH,8,N562NN,DAB,CLT,71,416,10,55,2018-01-07T10:00:00Z
2018,1,7,1134,1139,-5,1310,1313,-3,DL,5,N989DL,DAB,ATL,71,366,11,39,2018-01-07T11:00:00Z
