year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,603,600,3,803,814,-11,DL,5,N980DL,ECP,ATL,43,240,6,0,2018-01-01T06:00:00Z
2018,1,1,647,652,-5,855,900,-5,EV,24,N14904,ECP,IAH,110,572,6,52,2018-01-01T06:00:00Z
2018,1,1,733,735,-2,846,855,-9,WN,12,N918WN,ECP,BNA,62,401,7,35,2018-01-01T07:00:00Z
2018,1,1,924,925,-1,1115,1120,-5,WN,2,N462WN,ECP,HOU,97,571,9,25,2018-01-01T09:00:00Z
2018,1,1,931,915,16,1158,1127,31,EV,34,N695CA,ECP,ATL,43,240,9,15,2018-01-01T09:00:00Z
2018,1,1,1248,1237,11,1447,1448,-1,EV,31,N738EV,ECP,ATL,44,240,12,37,2018-01-01T12:00:00Z
2018,1,1,1425,1435,-10,1616,1643,-27,EV,25,N17108,ECP,IAH,96,572,14,35,2018-01-01T14:00:00Z
2018,1,1,1554,1600,-6,1803,1816,-13,EV,33,N755EV,ECP,ATL,42,240,16,0,2018-01-01T16:00:00Z
2018,1,1,2024,1950,34,2136,2110,26,WN,1,N255WN,ECP,BNA,60,401,19,50,2018-01-01T19:00:00Z
2018,1,2,604,600,4,805,814,-9,DL,5,N998DL,ECP,ATL,43,240,6,0,2018-01-02T06:00:00Z
2018,1,2,647,652,-5,901,900,1,EV,24,N34110,ECP,IAH,105,572,6,52,2018-01-02T06:00:00Z
2018,1,2,710,710,0,822,830,-8,WN,38,N7840A,ECP,BNA,61,401,7,10,2018-01-02T07:00:00Z
2018,1,2,908,915,-7,1111,1127,-16,EV,34,N691CA,ECP,ATL,41,240,9,15,2018-01-02T09:00:00Z
2018,1,2,956,935,21,1141,1130,11,WN,29,N713SW,ECP,HOU,93,571,9,35,2018-01-02T09:00:00Z
2018,1,2,1230,1237,-7,1430,1448,-18,EV,31,N678CA,ECP,ATL,42,240,12,37,2018-01-02T12:00:00Z
2018,1,2,1433,1435,-2,1633,1643,-10,EV,25,N14105,ECP,IAH,100,572,14,35,2018-01-02T14:00:00Z
2018,1,2,1459,1500,-1,1700,1709,-9,EV,32,N741EV,ECP,ATL,43,240,15,0,2018-01-02T15:00:00Z
2018,1,2,1603,1505,58,1755,1700,55,WN,30,N498WN,ECP,HOU,100,571,15,5,2018-01-02T15:00:00Z
2018,1,2,1755,1800,-5,2000,2022,-22,DL,15,N937DL,ECP,ATL,39,240,18,0,2018-01-02T18:00:00Z
2018,1,2,2056,2030,26,2205,2150,15,WN,11,N7883A,ECP,BNA,58,401,20,30,2018-01-02T20:00:00Z
2018,1,3,556,600,-4,751,816,-25,DL,15,N978DL,ECP,ATL,36,240,6,0,2018-01-03T06:00:00Z
2018,1,3,712,652,20,903,900,3,EV,24,N16541,ECP,IAH,92,572,6,52,2018-01-03T06:00:00Z
2018,1,3,736,735,1,847,855,-8,WN,12,N415WN,ECP,BNA,59,401,7,35,2018-01-03T07:00:00Z
2018,1,3,925,925,0,1111,1120,-9,WN,2,N427WN,ECP,HOU,92,571,9,25,2018-01-03T09:00:00Z
2018,1,3,952,948,4,1151,1158,-7,DL,13,N927DA,ECP,ATL,43,240,9,48,2018-01-03T09:00:00Z
2018,1,3,1427,1428,-1,1628,1642,-14,DL,16,N976DL,ECP,ATL,45,240,14,28,2018-01-03T14:00:00Z
