year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,655,700,-5,736,748,-12,YX,13,N408YX,EYW,MIA,24,125,7,0,2018-01-01T07:00:00Z
2018,1,1,714,702,12,916,905,11,EV,22,N748EV,EYW,ATL,101,646,7,2,2018-01-01T07:00:00Z
2018,1,1,1022,1014,8,1225,1233,-8,YX,21,N108HQ,EYW,CLT,104,736,10,14,2018-01-01T10:00:00Z
2018,1,1,1146,1152,-6,1407,1434,-27,YX,17,N424YX,EYW,DCA,123,1023,11,52,2018-01-01T11:00:00Z
2018,1,1,1208,1209,-1,1354,1414,-20,DL,4,N301DQ,EYW,ATL,95,646,12,9,2018-01-01T12:00:00Z
2018,1,1,1235,1250,-15,1439,1505,-26,YX,12,N138HQ,EYW,CLT,106,736,12,50,2018-01-01T12:00:00Z
2018,1,1,1322,1324,-2,1414,1412,2,YX,11,N413YX,EYW,MIA,29,125,13,24,2018-01-01T13:00:00Z
2018,1,1,1346,1320,26,1655,1625,30,YX,8,N647RW,EYW,EWR,164,1196,13,20,2018-01-01T13:00:00Z
2018,1,1,1346,1350,-4,1619,1635,-16,YX,20,N135HQ,EYW,DCA,133,1023,13,50,2018-01-01T13:00:00Z
2018,1,1,1445,1449,-4,1655,1709,-14,YX,15,N119HQ,EYW,CLT,106,736,14,49,2018-01-01T14:00:00Z
2018,1,1,1512,1335,97,1658,1540,78,DL,3,N302DQ,EYW,ATL,93,646,13,35,2018-01-01T13:00:00Z
2018,1,1,1526,1519,7,1814,1748,26,YX,9,N743YX,EYW,ORD,172,1251,15,19,2018-01-01T15:00:00Z
2018,1,1,1541,1553,-12,1621,1640,-19,YX,16,N415YX,EYW,MIA,28,125,15,53,2018-01-01T15:00:00Z
2018,1,1,1644,1644,0,1830,1850,-20,DL,2,N309DE,EYW,ATL,91,646,16,44,2018-01-01T16:00:00Z
2018,1,1,1702,1705,-3,1859,1923,-24,YX,18,N126HQ,EYW,CLT,103,736,17,5,2018-01-01T17:00:00Z
2018,1,1,1906,1918,-12,1958,2003,-5,YX,10,N415YX,EYW,MIA,32,125,19,18,2018-01-01T19:00:00Z
2018,1,2,647,702,-15,856,905,-9,EV,22,N738EV,EYW,ATL,94,646,7,2,2018-01-02T07:00:00Z
2018,1,2,658,700,-2,743,748,-5,YX,13,N430YX,EYW,MIA,28,125,7,0,2018-01-02T07:00:00Z
2018,1,2,1008,1014,-6,1218,1233,-15,YX,21,N117HQ,EYW,CLT,105,736,10,14,2018-01-02T10:00:00Z
2018,1,2,1137,1152,-15,1429,1434,-5,YX,17,N442YX,EYW,DCA,133,1023,11,52,2018-01-02T11:00:00Z
2018,1,2,1201,1208,-7,1237,1255,-18,YX,16,N421YX,EYW,MIA,24,125,12,8,2018-01-02T12:00:00Z
2018,1,2,1207,1209,-2,1356,1414,-18,DL,4,N303DQ,EYW,ATL,91,646,12,9,2018-01-02T12:00:00Z
2018,1,2,1236,1250,-14,1440,1505,-25,YX,12,N121HQ,EYW,CLT,104,736,12,50,2018-01-02T12:00:00Z
2018,1,2,1319,1324,-5,1409,1412,-3,YX,11,N416YX,EYW,MIA,28,125,13,24,2018-01-02T13:00:00Z
2018,1,2,1333,1335,-2,1525,1540,-15,DL,3,N306DQ,EYW,ATL,93,646,13,35,2018-01-02T13:00:00Z
2018,1,2,1350,1320,30,1746,1625,81,YX,8,N865RW,EYW,EWR,169,1196,13,20,2018-01-02T13:00:00Z
2018,1,2,1442,1449,-7,1655,1709,-14,YX,15,N118HQ,EYW,CLT,108,736,14,49,2018-01-02T14:00:00Z
2018,1,2,1443,1350,53,1712,1635,37,YX,20,N133HQ,EYW,DCA,130,1023,13,50,2018-01-02T13:00:00Z
2018,1,2,1518,1519,-1,1730,1748,-18,YX,9,N637RW,EYW,ORD,171,1251,15,19,2018-01-02T15:00:00Z
2018,1,2,1528,1459,29,1721,1704,17,DL,1,N304DQ,EYW,ATL,99,646,14,59,2018-01-02T14:00:00Z
2018,1,2,1716,1705,11,1918,1923,-5,YX,18,N108HQ,EYW,CLT,99,736,17,5,2018-01-02T17:00:00Z
2018,1,2,1724,1732,-8,1945,1936,9,DL,6,N303DQ,EYW,ATL,94,646,17,32,2018-01-02T17:00:00Z
2018,1,2,1910,1918,-8,1958,2003,-5,YX,10,N418YX,EYW,MIA,28,125,19,18,2018-01-02T19:00:00Z
2018,1,3,652,700,-8,735,748,-13,YX,13,N441YX,EYW,MIA,25,125,7,0,2018-01-03T07:00:00Z
2018,1,3,920,702,138,1109,905,124,EV,24,N753EV,EYW,ATL,97,646,7,2,2018-01-03T07:00:00Z
2018,1,3,1202,1152,10,1435,1434,1,YX,17,N420YX,EYW,DCA,124,1023,11,52,2018-01-03T11:00:00Z
2018,1,3,1205,1210,-5,1354,1415,-21,DL,7,N304DQ,EYW,ATL,95,646,12,10,2018-01-03T12:00:00Z
2018,1,3,1211,1014,117,1407,1233,94,YX,21,N108HQ,EYW,CLT,98,736,10,14,2018-01-03T10:00:00Z
2018,1,3,1309,1208,61,1353,1255,58,YX,16,N428YX,EYW,MIA,27,125,12,8,2018-01-03T12:00:00Z
2018,1,3,1316,1250,26,1521,1505,16,YX,12,N104HQ,EYW,CLT,101,736,12,50,2018-01-03T12:00:00Z
2018,1,3,1327,1320,7,1612,1625,-13,YX,8,N633RW,EYW,EWR,151,1196,13,20,2018-01-03T13:00:00Z
2018,1,3,1336,1340,-4,1530,1545,-15,DL,5,N306DQ,EYW,ATL,99,646,13,40,2018-01-03T13:00:00Z
2018,1,3,1353,1324,29,1438,1412,26,YX,11,N418YX,EYW,MIA,31,125,13,24,2018-01-03T13:00:00Z
2018,1,3,1403,1350,13,1624,1635,-11,YX,20,N135HQ,EYW,DCA,128,1023,13,50,2018-01-03T13:00:00Z
2018,1,3,1501,1449,12,1709,1709,0,YX,15,N130HQ,EYW,CLT,104,736,14,49,2018-01-03T14:00:00Z
2018,1,3,1542,1519,23,1753,1748,5,YX,9,N861RW,EYW,ORD,177,1251,15,19,2018-01-03T15:00:00Z
