year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,549,600,-11,703,724,-21,9E,5,N832AY,GNV,ATL,54,300,6,0,2018-01-01T06:00:00Z
2018,1,1,614,619,-5,729,752,-23,OH,20,N716PS,GNV,CLT,59,388,6,19,2018-01-01T06:00:00Z
2018,1,1,955,1005,-10,1224,1130,54,9E,4,N832AY,GNV,ATL,51,300,10,5,2018-01-01T10:00:00Z
2018,1,1,1125,1100,25,1238,1235,3,OH,21,N218PS,GNV,CLT,59,388,11,0,2018-01-01T11:00:00Z
2018,1,1,1423,1346,37,1549,1518,31,OH,18,N593NN,GNV,CLT,61,388,13,46,2018-01-01T13:00:00Z
2018,1,1,1557,1540,17,1704,1706,-2,EV,22,N707EV,GNV,ATL,53,300,15,40,2018-01-01T15:00:00Z
2018,1,1,1752,1800,-8,1911,1928,-17,9E,6,N8969A,GNV,ATL,52,300,18,0,2018-01-01T18:00:00Z
2018,1,1,NA,1535,NA,NA,1645,NA,MQ,8,N670AE,GNV,MIA,NA,294,15,35,2018-01-01T15:00:00Z
2018,1,1,NA,1745,NA,NA,1921,NA,OH,19,N230PS,GNV,CLT,NA,388,17,45,2018-01-01T17:00:00Z
2018,1,2,519,519,0,639,645,-6,OH,20,N511AE,GNV,CLT,62,388,5,19,2018-01-02T05:00:00Z
2018,1,2,554,600,-6,713,724,-11,9E,5,N8883E,GNV,ATL,54,300,6,0,2018-01-02T06:00:00Z
2018,1,2,619,620,-1,750,731,19,MQ,9,N654AE,GNV,MIA,65,294,6,20,2018-01-02T06:00:00Z
2018,1,2,956,1005,-9,1112,1130,-18,9E,4,N8888D,GNV,ATL,54,300,10,5,2018-01-02T10:00:00Z
2018,1,2,1113,1100,13,1246,1235,11,OH,21,N206PS,GNV,CLT,67,388,11,0,2018-01-02T11:00:00Z
2018,1,2,1243,1253,-10,1408,1420,-12,9E,7,N8986B,GNV,ATL,53,300,12,53,2018-01-02T12:00:00Z
2018,1,2,1434,1346,48,1607,1518,49,OH,18,N557NN,GNV,CLT,59,388,13,46,2018-01-02T13:00:00Z
2018,1,2,1530,1540,-10,1654,1706,-12,OO,14,N449SW,GNV,ATL,57,300,15,40,2018-01-02T15:00:00Z
2018,1,2,1603,1535,28,1710,1645,25,MQ,8,N688AE,GNV,MIA,54,294,15,35,2018-01-02T15:00:00Z
2018,1,2,1735,1745,-10,1905,1913,-8,9E,6,N8888D,GNV,ATL,55,300,17,45,2018-01-02T17:00:00Z
2018,1,2,1859,1745,74,2039,1921,78,OH,19,N223JS,GNV,CLT,66,388,17,45,2018-01-02T17:00:00Z
2018,1,2,1939,1945,-6,2116,2110,6,EV,23,N391CA,GNV,ATL,52,300,19,45,2018-01-02T19:00:00Z
