year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,540,545,-5,746,755,-9,YX,144,N417YX,JAX,PHL,100,742,5,45,2018-01-01T05:00:00Z
2018,1,1,543,545,-2,703,710,-7,WN,175,N8642E,JAX,MDW,126,849,5,45,2018-01-01T05:00:00Z
2018,1,1,554,530,24,801,742,19,B6,49,N508JB,JAX,JFK,98,828,5,30,2018-01-01T05:00:00Z
2018,1,1,557,600,-3,820,825,-5,9E,126,N272PQ,JAX,JFK,99,828,6,0,2018-01-01T06:00:00Z
2018,1,1,559,600,-1,630,635,-5,WN,51,N407WN,JAX,BNA,77,483,6,0,2018-01-01T06:00:00Z
2018,1,1,613,615,-2,717,732,-15,DL,64,N954DN,JAX,ATL,46,270,6,15,2018-01-01T06:00:00Z
2018,1,1,618,620,-2,737,741,-4,YX,138,N414YX,JAX,MIA,60,335,6,20,2018-01-01T06:00:00Z
2018,1,1,631,635,-4,733,750,-17,WN,42,N291WN,JAX,ATL,47,270,6,35,2018-01-01T06:00:00Z
2018,1,1,641,639,2,806,815,-9,UA,62,N811UA,JAX,IAH,130,817,6,39,2018-01-01T06:00:00Z
2018,1,1,644,650,-6,800,821,-21,AA,46,N825AW,JAX,CLT,54,328,6,50,2018-01-01T06:00:00Z
2018,1,1,659,700,-1,846,848,-2,MQ,96,N224NN,JAX,ORD,135,864,7,0,2018-01-01T07:00:00Z
2018,1,1,700,708,-8,808,826,-18,B6,22,N190JB,JAX,FLL,54,319,7,8,2018-01-01T07:00:00Z
2018,1,1,709,710,-1,848,900,-12,WN,176,N935WN,JAX,BWI,84,663,7,10,2018-01-01T07:00:00Z
2018,1,1,710,615,55,917,842,35,YX,108,N725YX,JAX,EWR,103,820,6,15,2018-01-01T06:00:00Z
2018,1,1,724,730,-6,835,852,-17,DL,80,N824DN,JAX,ATL,46,270,7,30,2018-01-01T07:00:00Z
2018,1,1,804,812,-8,1003,1029,-26,9E,94,N134EV,JAX,LGA,96,833,8,12,2018-01-01T08:00:00Z
2018,1,1,827,830,-3,935,950,-15,DL,21,N936DL,JAX,ATL,50,270,8,30,2018-01-01T08:00:00Z
2018,1,1,847,854,-7,1015,1025,-10,AA,54,N802AW,JAX,CLT,55,328,8,54,2018-01-01T08:00:00Z
2018,1,1,1015,1020,-5,1150,1206,-16,B6,68,N247JB,JAX,DCA,81,634,10,20,2018-01-01T10:00:00Z
2018,1,1,1022,1024,-2,1150,1145,5,MQ,92,N931AE,JAX,MIA,69,335,10,24,2018-01-01T10:00:00Z
2018,1,1,1035,1030,5,1107,1105,2,WN,3,N494WN,JAX,BNA,75,483,10,30,2018-01-01T10:00:00Z
2018,1,1,1057,1045,12,1216,1159,17,DL,18,N901DE,JAX,ATL,47,270,10,45,2018-01-01T10:00:00Z
2018,1,1,1114,1122,-8,1301,1318,-17,YX,145,N132HQ,JAX,DCA,82,634,11,22,2018-01-01T11:00:00Z
2018,1,1,1133,1135,-2,1257,1305,-8,WN,11,N966WN,JAX,HOU,132,816,11,35,2018-01-01T11:00:00Z
2018,1,1,1137,1140,-3,1333,1327,6,MQ,130,N255NN,JAX,DFW,144,918,11,40,2018-01-01T11:00:00Z
2018,1,1,1154,1203,-9,1302,1320,-18,B6,55,N354JB,JAX,FLL,50,319,12,3,2018-01-01T12:00:00Z
2018,1,1,1205,1206,-1,1326,1335,-9,OH,157,N591NN,JAX,CLT,58,328,12,6,2018-01-01T12:00:00Z
2018,1,1,1207,1127,40,1417,1337,40,B6,14,N623JB,JAX,JFK,99,828,11,27,2018-01-01T11:00:00Z
2018,1,1,1221,1200,21,1409,1411,-2,YX,140,N130HQ,JAX,PHL,96,742,12,0,2018-01-01T12:00:00Z
2018,1,1,1246,1205,41,1420,1355,25,WN,9,N230WN,JAX,BWI,82,663,12,5,2018-01-01T12:00:00Z
2018,1,1,1305,1222,43,1526,1450,36,B6,30,N304JB,JAX,BOS,123,1010,12,22,2018-01-01T12:00:00Z
2018,1,1,1319,1320,-1,1429,1435,-6,WN,5,N8675A,JAX,ATL,48,270,13,20,2018-01-01T13:00:00Z
2018,1,1,1326,1330,-4,1516,1549,-33,DL,4,N989AT,JAX,JFK,97,828,13,30,2018-01-01T13:00:00Z
2018,1,1,1338,1345,-7,1453,1512,-19,AA,47,N819AW,JAX,CLT,54,328,13,45,2018-01-01T13:00:00Z
2018,1,1,1349,1215,94,1452,1333,79,DL,53,N923DL,JAX,ATL,47,270,12,15,2018-01-01T12:00:00Z
2018,1,1,1352,1400,-8,1530,1550,-20,YV,179,N509MJ,JAX,IAD,75,630,14,0,2018-01-01T14:00:00Z
2018,1,1,1409,1409,0,1540,1549,-9,MQ,115,N253NN,JAX,ORD,129,864,14,9,2018-01-01T14:00:00Z
2018,1,1,1420,1405,15,1453,1440,13,WN,43,N761RR,JAX,BNA,76,483,14,5,2018-01-01T14:00:00Z
2018,1,1,1438,1440,-2,1541,1604,-23,DL,78,N913DE,JAX,ATL,46,270,14,40,2018-01-01T14:00:00Z
2018,1,1,1453,1500,-7,1703,1717,-14,YX,168,N206JQ,JAX,LGA,103,833,15,0,2018-01-01T15:00:00Z
2018,1,1,1527,1335,112,1632,1454,98,DL,35,N956DL,JAX,ATL,46,270,13,35,2018-01-01T13:00:00Z
2018,1,1,1531,1525,6,1647,1643,4,YX,149,N447YX,JAX,MIA,57,335,15,25,2018-01-01T15:00:00Z
