year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,557,600,-3,725,735,-10,DL,12,N949AT,MLB,ATL,69,442,6,0,2018-01-01T06:00:00Z
2018,1,1,811,816,-5,1000,1010,-10,OH,16,N241PS,MLB,CLT,80,490,8,16,2018-01-01T08:00:00Z
2018,1,1,1153,1201,-8,1327,1351,-24,OH,14,N242JS,MLB,CLT,78,490,12,1,2018-01-01T12:00:00Z
2018,1,1,1154,1120,34,1323,1305,18,DL,10,N971AT,MLB,ATL,68,442,11,20,2018-01-01T11:00:00Z
2018,1,1,1428,1425,3,1553,1609,-16,DL,4,N928AT,MLB,ATL,69,442,14,25,2018-01-01T14:00:00Z
2018,1,1,1731,1524,127,1913,1715,118,OH,15,N512AE,MLB,CLT,79,490,15,24,2018-01-01T15:00:00Z
2018,1,2,555,600,-5,724,735,-11,DL,12,N950AT,MLB,ATL,67,442,6,0,2018-01-02T06:00:00Z
2018,1,2,710,715,-5,845,858,-13,DL,7,N934AT,MLB,ATL,68,442,7,15,2018-01-02T07:00:00Z
2018,1,2,816,816,0,951,1010,-19,OH,16,N254PS,MLB,CLT,77,490,8,16,2018-01-02T08:00:00Z
2018,1,2,1116,1120,-4,1251,1259,-8,DL,2,N938AT,MLB,ATL,71,442,11,20,2018-01-02T11:00:00Z
2018,1,2,1215,1201,14,1358,1351,7,OH,14,N248PS,MLB,CLT,84,490,12,1,2018-01-02T12:00:00Z
2018,1,2,1518,1425,53,1701,1604,57,9E,13,N297PQ,MLB,ATL,73,442,14,25,2018-01-02T14:00:00Z
2018,1,2,1519,1524,-5,1701,1715,-14,OH,15,N260JS,MLB,CLT,80,490,15,24,2018-01-02T15:00:00Z
2018,1,2,1713,1720,-7,1847,1907,-20,DL,11,N991AT,MLB,ATL,69,442,17,20,2018-01-02T17:00:00Z
2018,1,3,556,600,-4,725,735,-10,DL,6,N935AT,MLB,ATL,68,442,6,0,2018-01-03T06:00:00Z
2018,1,3,715,715,0,856,855,1,DL,8,N309DE,MLB,ATL,69,442,7,15,2018-01-03T07:00:00Z
2018,1,3,851,816,35,1031,1010,21,OH,16,N247JS,MLB,CLT,76,490,8,16,2018-01-03T08:00:00Z
2018,1,3,1207,1201,6,1349,1351,-2,OH,14,N242JS,MLB,CLT,70,490,12,1,2018-01-03T12:00:00Z
2018,1,3,1240,1143,57,1401,1325,36,DL,1,N954AT,MLB,ATL,64,442,11,43,2018-01-03T11:00:00Z
2018,1,3,1434,1415,19,1557,1559,-2,DL,9,N978AT,MLB,ATL,64,442,14,15,2018-01-03T14:00:00Z
2018,1,3,1548,1524,24,1730,1715,15,OH,15,N207PS,MLB,CLT,77,490,15,24,2018-01-03T15:00:00Z
2018,1,3,1718,1720,-2,1854,1904,-10,DL,3,N310DE,MLB,ATL,71,442,17,20,2018-01-03T17:00:00Z
2018,1,4,903,715,108,1047,855,112,DL,8,N309DE,MLB,ATL,75,442,7,15,2018-01-04T07:00:00Z
2018,1,4,955,816,99,1140,1010,90,OH,16,N256PS,MLB,CLT,80,490,8,16,2018-01-04T08:00:00Z
2018,1,4,1136,1143,-7,1316,1325,-9,DL,1,N717JL,MLB,ATL,76,442,11,43,2018-01-04T11:00:00Z
2018,1,4,1158,1201,-3,1336,1351,-15,OH,14,N261PS,MLB,CLT,79,490,12,1,2018-01-04T12:00:00Z
2018,1,4,1410,1415,-5,1552,1559,-7,DL,9,N940AT,MLB,ATL,80,442,14,15,2018-01-04T14:00:00Z
2018,1,4,1527,1524,3,1712,1715,-3,OH,15,N202PS,MLB,CLT,84,490,15,24,2018-01-04T15:00:00Z
2018,1,4,1714,1720,-6,1848,1904,-16,DL,3,N305DQ,MLB,ATL,75,442,17,20,2018-01-04T17:00:00Z
2018,1,5,720,715,5,854,855,-1,DL,8,N306DQ,MLB,ATL,72,442,7,15,2018-01-05T07:00:00Z
2018,1,5,818,816,2,1004,1010,-6,OH,16,N246PS,MLB,CLT,81,490,8,16,2018-01-05T08:00:00Z
2018,1,5,1136,1143,-7,1310,1325,-15,DL,1,N996AT,MLB,ATL,75,442,11,43,2018-01-05T11:00:00Z
2018,1,5,1213,1201,12,1359,1351,8,OH,14,N249PS,MLB,CLT,83,490,12,1,2018-01-05T12:00:00Z
2018,1,5,1409,1415,-6,1545,1559,-14,DL,9,N944AT,MLB,ATL,73,442,14,15,2018-01-05T14:00:00Z
2018,1,5,1545,1524,21,1723,1715,8,OH,15,N237PS,MLB,CLT,81,490,15,24,2018-01-05T15:00:00Z
2018,1,5,1716,1720,-4,1855,1904,-9,DL,3,N302DQ,MLB,ATL,76,442,17,20,2018-01-05T17:00:00Z
2018,1,6,555,600,-5,720,733,-13,DL,6,N302DQ,MLB,ATL,69,442,6,0,2018-01-06T06:00:00Z
2018,1,6,808,816,-8,1012,1010,2,OH,16,N207PS,MLB,CLT,84,490,8,16,2018-01-06T08:00:00Z
2018,1,6,1219,1201,18,1402,1351,11,OH,14,N220PS,MLB,CLT,80,490,12,1,2018-01-06T12:00:00Z
2018,1,6,1411,1415,-4,1539,1557,-18,DL,9,N933AT,MLB,ATL,69,442,14,15,2018-01-06T14:00:00Z
2018,1,6,1531,1524,7,1707,1715,-8,OH,15,N709PS,MLB,CLT,77,490,15,24,2018-01-06T15:00:00Z
2018,1,7,556,600,-4,721,735,-14,DL,6,N306DQ,MLB,ATL,69,442,6,0,2018-01-07T06:00:00Z
2018,1,7,707,715,-8,844,855,-11,DL,8,N301DQ,MLB,ATL,68,442,7,15,2018-01-07T07:00:00Z
2018,1,7,807,816,-9,1014,1010,4,OH,16,N242JS,MLB,CLT,83,490,8,16,2018-01-07T08:00:00Z
2018,1,7,1139,1143,-4,1318,1325,-7,DL,1,N985AT,MLB,ATL,77,442,11,43,2018-01-07T11:00:00Z
2018,1,7,1414,1415,-1,1547,1559,-12,DL,9,N979AT,MLB,ATL,74,442,14,15,2018-01-07T14:00:00Z
2018,1,7,1556,1524,32,1736,1715,21,OH,15,N244PS,MLB,CLT,77,490,15,24,2018-01-07T15:00:00Z
2018,1,7,1725,1720,5,1855,1904,-9,DL,3,N304DQ,MLB,ATL,69,442,17,20,2018-01-07T17:00:00Z
2018,1,7,1928,1201,447,2121,1351,450,OH,14,N245PS,MLB,CLT,83,490,12,1,2018-01-07T12:00:00Z
2018,1,8,708,715,-7,840,855,-15,DL,8,N301DQ,MLB,ATL,68,442,7,15,2018-01-08T07:00:00Z
2018,1,8,822,830,-8,1026,1025,1,OH,16,N242JS,MLB,CLT,86,490,8,30,2018-01-08T08:00:00Z
2018,1,8,1208,1143,25,1341,1325,16,DL,1,N924AT,MLB,ATL,70,442,11,43,2018-01-08T11:00:00Z
2018,1,8,1450,1415,35,1633,1559,34,DL,9,N993AT,MLB,ATL,71,442,14,15,2018-01-08T14:00:00Z
2018,1,8,1634,1534,60,1823,1726,57,OH,15,N202PS,MLB,CLT,78,490,15,34,2018-01-08T15:00:00Z
2018,1,8,1726,1720,6,1909,1904,5,DL,3,N310DE,MLB,ATL,74,442,17,20,2018-01-08T17:00:00Z
2018,1,9,710,715,-5,840,855,-15,DL,8,N303DQ,MLB,ATL,66,442,7,15,2018-01-09T07:00:00Z
2018,1,9,826,830,-4,1003,1025,-22,OH,16,N247JS,MLB,CLT,81,490,8,30,2018-01-09T08:00:00Z
2018,1,9,1135,1143,-8,1310,1325,-15,DL,1,N993AT,MLB,ATL,68,442,11,43,2018-01-09T11:00:00Z
2018,1,9,1429,1415,14,1553,1559,-6,DL,9,N959AT,MLB,ATL,65,442,14,15,2018-01-09T14:00:00Z
2018,1,9,1543,1534,9,1729,1726,3,OH,15,N253PS,MLB,CLT,84,490,15,34,2018-01-09T15:00:00Z
2018,1,9,1715,1720,-5,1853,1904,-11,DL,3,N303DQ,MLB,ATL,66,442,17,20,2018-01-09T17:00:00Z
2018,1,10,711,715,-4,918,855,23,DL,8,N302DQ,MLB,ATL,75,442,7,15,2018-01-10T07:00:00Z
2018,1,10,821,830,-9,955,1025,-30,OH,16,N202PS,MLB,CLT,79,490,8,30,2018-01-10T08:00:00Z
2018,1,10,1135,1143,-8,1313,1325,-12,DL,1,N920AT,MLB,ATL,73,442,11,43,2018-01-10T11:00:00Z
2018,1,10,1408,1415,-7,1552,1559,-7,DL,9,N950AT,MLB,ATL,68,442,14,15,2018-01-10T14:00:00Z
2018,1,10,1535,1534,1,1718,1726,-8,OH,15,N246PS,MLB,CLT,82,490,15,34,2018-01-10T15:00:00Z
2018,1,10,1713,1720,-7,1848,1904,-16,DL,3,N308DE,MLB,ATL,77,442,17,20,2018-01-10T17:00:00Z
2018,1,11,711,715,-4,906,855,11,DL,8,N302DQ,MLB,ATL,73,442,7,15,2018-01-11T07:00:00Z
2018,1,11,822,830,-8,1012,1025,-13,OH,16,N258PS,MLB,CLT,90,490,8,30,2018-01-11T08:00:00Z
2018,1,11,1133,1143,-10,1318,1325,-7,DL,1,N603AT,MLB,ATL,74,442,11,43,2018-01-11T11:00:00Z
2018,1,11,1410,1415,-5,1550,1559,-9,DL,9,N977AT,MLB,ATL,73,442,14,15,2018-01-11T14:00:00Z
2018,1,11,1534,1534,0,1726,1726,0,OH,15,N221PS,MLB,CLT,80,490,15,34,2018-01-11T15:00:00Z
2018,1,11,1719,1720,-1,1859,1904,-5,DL,3,N304DQ,MLB,ATL,70,442,17,20,2018-01-11T17:00:00Z
2018,1,12,712,715,-3,850,855,-5,DL,8,N303DQ,MLB,ATL,70,442,7,15,2018-01-12T07:00:00Z
2018,1,12,820,830,-10,1011,1025,-14,OH,16,N254PS,MLB,CLT,87,490,8,30,2018-01-12T08:00:00Z
2018,1,12,1136,1143,-7,1301,1325,-24,DL,1,N989AT,MLB,ATL,62,442,11,43,2018-01-12T11:00:00Z
2018,1,12,1412,1415,-3,1532,1559,-27,DL,9,N608AT,MLB,ATL,63,442,14,15,2018-01-12T14:00:00Z
2018,1,12,1540,1534,6,2311,1726,NA,OH,15,N249PS,MLB,CLT,NA,490,15,34,2018-01-12T15:00:00Z
2018,1,12,1716,1720,-4,1838,1904,-26,DL,3,N306DQ,MLB,ATL,63,442,17,20,2018-01-12T17:00:00Z
2018,1,13,821,825,-4,945,1003,-18,DL,5,N308DE,MLB,ATL,67,442,8,25,2018-01-13T08:00:00Z
2018,1,13,822,830,-8,957,1025,-28,OH,16,N256PS,MLB,CLT,76,490,8,30,2018-01-13T08:00:00Z
2018,1,13,1407,1415,-8,1527,1557,-30,DL,9,N993AT,MLB,ATL,65,442,14,15,2018-01-13T14:00:00Z
2018,1,13,1911,1534,217,2037,1726,191,OH,15,N254PS,MLB,CLT,73,490,15,34,2018-01-13T15:00:00Z
2018,1,14,556,600,-4,723,733,-10,DL,6,N303DQ,MLB,ATL,66,442,6,0,2018-01-14T06:00:00Z
2018,1,14,819,825,-6,940,1003,-23,DL,5,N310DE,MLB,ATL,63,442,8,25,2018-01-14T08:00:00Z
2018,1,14,821,830,-9,1023,1025,-2,OH,16,N246PS,MLB,CLT,83,490,8,30,2018-01-14T08:00:00Z
2018,1,14,1410,1415,-5,1530,1557,-27,DL,9,N978AT,MLB,ATL,67,442,14,15,2018-01-14T14:00:00Z
2018,1,14,1541,1534,7,1723,1726,-3,OH,15,N256PS,MLB,CLT,79,490,15,34,2018-01-14T15:00:00Z
2018,1,15,719,715,4,849,855,-6,DL,8,N306DQ,MLB,ATL,70,442,7,15,2018-01-15T07:00:00Z
