year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,525,530,-5,748,805,-17,WN,47,N7715E,PBI,ISP,130,1052,5,30,2018-01-01T05:00:00Z
2018,1,1,552,600,-8,935,856,39,B6,48,N579JB,PBI,BOS,144,1197,6,0,2018-01-01T06:00:00Z
2018,1,1,613,615,-2,758,804,-6,DL,106,N336NW,PBI,ATL,82,545,6,15,2018-01-01T06:00:00Z
2018,1,1,623,629,-6,815,825,-10,AA,93,N538UW,PBI,CLT,90,590,6,29,2018-01-01T06:00:00Z
2018,1,1,637,640,-3,833,837,-4,UA,61,N76522,PBI,IAH,160,956,6,40,2018-01-01T06:00:00Z
2018,1,1,643,630,13,917,922,-5,DL,92,N378NW,PBI,LGA,129,1035,6,30,2018-01-01T06:00:00Z
2018,1,1,652,700,-8,941,944,-3,B6,54,N334JB,PBI,HPN,145,1056,7,0,2018-01-01T07:00:00Z
2018,1,1,713,715,-2,947,955,-8,B6,2,N957JB,PBI,JFK,136,1028,7,15,2018-01-01T07:00:00Z
2018,1,1,717,720,-3,935,959,-24,AA,40,N580UW,PBI,PHL,125,951,7,20,2018-01-01T07:00:00Z
2018,1,1,724,730,-6,951,1022,-31,DL,82,N947AT,PBI,JFK,127,1028,7,30,2018-01-01T07:00:00Z
2018,1,1,750,720,30,1041,1006,35,B6,12,N715JB,PBI,EWR,140,1023,7,20,2018-01-01T07:00:00Z
2018,1,1,752,800,-8,1057,1101,-4,B6,11,N298JB,PBI,BOS,160,1197,8,0,2018-01-01T08:00:00Z
2018,1,1,754,735,19,1002,955,7,WN,87,N298WN,PBI,BWI,116,883,7,35,2018-01-01T07:00:00Z
2018,1,1,755,800,-5,1028,1051,-23,YX,164,N425YX,PBI,LGA,133,1035,8,0,2018-01-01T08:00:00Z
2018,1,1,758,800,-2,1052,1051,1,DL,123,N340NW,PBI,LGA,135,1035,8,0,2018-01-01T08:00:00Z
2018,1,1,840,800,40,1110,1046,24,UA,102,N488UA,PBI,EWR,132,1023,8,0,2018-01-01T08:00:00Z
2018,1,1,845,830,15,1030,1022,8,DL,116,N3740C,PBI,ATL,82,545,8,30,2018-01-01T08:00:00Z
2018,1,1,903,905,-2,1150,1144,6,B6,67,N556JB,PBI,JFK,138,1028,9,5,2018-01-01T09:00:00Z
2018,1,1,906,730,96,1049,920,89,DL,64,N334NW,PBI,ATL,82,545,7,30,2018-01-01T07:00:00Z
2018,1,1,924,930,-6,1153,1210,-17,AA,111,N948UW,PBI,PHL,128,951,9,30,2018-01-01T09:00:00Z
