year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,628,620,8,812,807,5,G4,22,246NV,PGD,RDU,87,645,6,20,2018-01-01T06:00:00Z
2018,1,1,635,630,5,813,815,-2,G4,17,247NV,PGD,USA,85,588,6,30,2018-01-01T06:00:00Z
2018,1,1,649,640,9,852,843,9,G4,13,248NV,PGD,MCI,167,1125,6,40,2018-01-01T06:00:00Z
2018,1,1,700,650,10,923,919,4,G4,38,250NV,PGD,IND,127,916,6,50,2018-01-01T06:00:00Z
2018,1,1,700,700,0,908,906,2,G4,40,251NV,PGD,CID,166,1170,7,0,2018-01-01T07:00:00Z
2018,1,1,710,710,0,955,958,-3,G4,26,253NV,PGD,IAG,147,1129,7,10,2018-01-01T07:00:00Z
2018,1,1,724,730,-6,1000,1010,-10,G4,10,254NV,PGD,SWF,139,1101,7,30,2018-01-01T07:00:00Z
2018,1,1,1130,1126,4,1413,1416,-3,G4,42,247NV,PGD,GRR,148,1118,11,26,2018-01-01T11:00:00Z
2018,1,1,1140,1141,-1,1320,1325,-5,G4,23,246NV,PGD,TYS,88,624,11,41,2018-01-01T11:00:00Z
2018,1,1,1355,1401,-6,1530,1544,-14,G4,30,248NV,PGD,PIA,143,1045,14,1,2018-01-01T14:00:00Z
2018,1,1,1441,1428,13,1645,1647,-2,G4,39,251NV,PGD,LCK,109,890,14,28,2018-01-01T14:00:00Z
2018,1,1,1519,1438,41,1736,1706,30,G4,19,253NV,PGD,DAY,122,904,14,38,2018-01-01T14:00:00Z
2018,1,1,1541,1316,145,1748,1525,143,G4,24,250NV,PGD,LEX,111,781,13,16,2018-01-01T13:00:00Z
2018,1,1,1554,1448,66,1745,1642,63,G4,36,254NV,PGD,MLI,156,1113,14,48,2018-01-01T14:00:00Z
2018,1,1,1652,1642,10,1924,1922,2,G4,35,246NV,PGD,ABE,138,1018,16,42,2018-01-01T16:00:00Z
2018,1,1,1841,1846,-5,2016,2025,-9,G4,34,247NV,PGD,AVL,80,588,18,46,2018-01-01T18:00:00Z
2018,1,1,2015,1746,149,2220,2004,136,G4,29,331NV,PGD,CVG,114,850,17,46,2018-01-01T17:00:00Z
2018,1,2,627,630,-3,757,805,-8,G4,25,254NV,PGD,GSP,77,550,6,30,2018-01-02T06:00:00Z
2018,1,2,632,640,-8,805,823,-18,G4,30,250NV,PGD,PIA,139,1045,6,40,2018-01-02T06:00:00Z
2018,1,2,650,650,0,850,859,-9,G4,24,251NV,PGD,LEX,104,781,6,50,2018-01-02T06:00:00Z
2018,1,2,655,700,-5,920,933,-13,G4,28,247NV,PGD,FWA,131,986,7,0,2018-01-02T07:00:00Z
2018,1,2,708,710,-2,957,955,2,G4,6,248NV,PGD,FNT,152,1111,7,10,2018-01-02T07:00:00Z
2018,1,2,955,937,18,1200,1155,5,G4,3,331NV,PGD,CVG,111,850,9,37,2018-01-02T09:00:00Z
2018,1,2,1046,1022,24,1303,1247,16,G4,4,310NV,PGD,PIT,125,941,10,22,2018-01-02T10:00:00Z
2018,1,2,1124,1032,52,1335,1251,44,G4,2,253NV,PGD,LCK,121,890,10,32,2018-01-02T10:00:00Z
2018,1,2,1140,1119,21,1314,1303,11,G4,23,254NV,PGD,TYS,81,624,11,19,2018-01-02T11:00:00Z
2018,1,2,1237,1238,-1,1436,1444,-8,G4,37,251NV,PGD,DSM,164,1206,12,38,2018-01-02T12:00:00Z
2018,1,2,1315,1334,-19,1459,1532,-33,G4,32,250NV,PGD,RFD,150,1127,13,34,2018-01-02T13:00:00Z
2018,1,2,1439,1344,55,1724,1632,52,G4,26,247NV,PGD,IAG,149,1129,13,44,2018-01-02T13:00:00Z
2018,1,2,1444,1412,32,1732,1727,5,G4,12,248NV,PGD,PVD,154,1184,14,12,2018-01-02T14:00:00Z
2018,1,2,1619,1625,-6,1847,1904,-17,G4,27,246NV,PGD,SBN,138,1049,16,25,2018-01-02T16:00:00Z
2018,1,2,1705,1641,24,1846,1820,26,G4,1,233NV,PGD,AVL,84,588,16,41,2018-01-02T16:00:00Z
2018,1,3,630,630,0,758,817,-19,G4,23,247NV,PGD,TYS,75,624,6,30,2018-01-03T06:00:00Z
2018,1,3,635,640,-5,810,825,-15,G4,30,254NV,PGD,PIA,139,1045,6,40,2018-01-03T06:00:00Z
2018,1,3,650,650,0,845,902,-17,G4,24,250NV,PGD,LEX,100,781,6,50,2018-01-03T06:00:00Z
2018,1,3,657,700,-3,944,947,-3,G4,11,251NV,PGD,GRR,148,1118,7,0,2018-01-03T07:00:00Z
2018,1,3,707,710,-3,838,846,-8,G4,31,248NV,PGD,SPI,136,994,7,10,2018-01-03T07:00:00Z
2018,1,3,1132,1142,-10,1358,1417,-19,G4,35,247NV,PGD,ABE,133,1018,11,42,2018-01-03T11:00:00Z
2018,1,3,1239,1246,-7,1432,1448,-16,G4,40,250NV,PGD,CID,160,1170,12,46,2018-01-03T12:00:00Z
2018,1,3,1332,1336,-4,1554,1608,-14,G4,38,254NV,PGD,IND,128,916,13,36,2018-01-03T13:00:00Z
