year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,637,640,-3,806,813,-7,G4,33,233NV,PIE,BMI,134,936,6,40,2018-01-01T06:00:00Z
2018,1,1,647,650,-3,911,909,2,G4,44,217NV,PIE,DAY,122,831,6,50,2018-01-01T06:00:00Z
2018,1,1,650,700,-10,920,925,-5,G4,37,218NV,PIE,FWA,128,912,7,0,2018-01-01T07:00:00Z
2018,1,1,705,710,-5,830,840,-10,G4,13,232NV,PIE,GSP,65,482,7,10,2018-01-01T07:00:00Z
2018,1,1,715,722,-7,1000,1020,-20,G4,23,229NV,PIE,PBG,151,1262,7,22,2018-01-01T07:00:00Z
2018,1,1,732,732,0,926,917,9,G4,32,228NV,PIE,RFD,144,1049,7,32,2018-01-01T07:00:00Z
2018,1,1,737,742,-5,1013,1021,-8,G4,18,221NV,PIE,SYR,137,1111,7,42,2018-01-01T07:00:00Z
2018,1,1,747,752,-5,924,934,-10,G4,17,223NV,PIE,TRI,81,590,7,52,2018-01-01T07:00:00Z
2018,1,1,802,802,0,952,940,12,G4,14,220NV,PIE,TYS,78,550,8,2,2018-01-01T08:00:00Z
2018,1,1,823,810,13,953,942,11,G4,61,230NV,PIE,AVL,71,519,8,10,2018-01-01T08:00:00Z
2018,1,1,830,830,0,1111,1113,-2,G4,39,219NV,PIE,IAG,132,1069,8,30,2018-01-01T08:00:00Z
2018,1,1,834,849,-15,1053,1111,-18,G4,3,222NV,PIE,MDT,120,912,8,49,2018-01-01T08:00:00Z
2018,1,1,1143,924,139,1324,1116,128,G4,55,225NV,PIE,ROA,88,668,9,24,2018-01-01T09:00:00Z
2018,1,1,1145,1148,-3,1336,1349,-13,G4,8,232NV,PIE,HTS,98,721,11,48,2018-01-01T11:00:00Z
2018,1,1,1247,1305,-18,1433,1500,-27,G4,27,227NV,PIE,CID,149,1090,13,5,2018-01-01T13:00:00Z
2018,1,1,1255,1255,0,1555,1600,-5,G4,31,223NV,PIE,BGR,159,1394,12,55,2018-01-01T12:00:00Z
2018,1,1,1313,1315,-2,1506,1512,-6,G4,11,217NV,PIE,DSM,157,1126,13,15,2018-01-01T13:00:00Z
2018,1,1,1328,1335,-7,1556,1620,-24,G4,48,220NV,PIE,PVD,134,1145,13,35,2018-01-01T13:00:00Z
2018,1,1,1443,1428,15,1712,1655,17,G4,24,228NV,PIE,SBN,129,973,14,28,2018-01-01T14:00:00Z
2018,1,1,1502,1510,-8,1728,1736,-8,G4,2,221NV,PIE,TOL,127,945,15,10,2018-01-01T15:00:00Z
2018,1,1,1508,1500,8,1711,1712,-1,G4,25,309NV,PIE,CVG,105,776,15,0,2018-01-01T15:00:00Z
2018,1,1,1521,1521,0,1730,1738,-8,G4,58,222NV,PIE,IND,114,840,15,21,2018-01-01T15:00:00Z
2018,1,1,1526,1531,-5,1656,1706,-10,G4,20,229NV,PIE,PIA,135,965,15,31,2018-01-01T15:00:00Z
2018,1,1,1533,1450,43,1701,1622,39,G4,54,233NV,PIE,AVL,71,519,14,50,2018-01-01T14:00:00Z
2018,1,1,1540,1541,-1,1655,1703,-8,G4,34,219NV,PIE,BLV,123,841,15,41,2018-01-01T15:00:00Z
