year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,558,600,-2,756,812,-16,DL,10,N776DE,PNS,ATL,42,271,6,0,2018-01-01T06:00:00Z
2018,1,1,601,600,1,845,843,2,MQ,34,N662EH,PNS,MIA,90,530,6,0,2018-01-01T06:00:00Z
2018,1,1,636,640,-4,819,835,-16,YV,59,N88332,PNS,IAH,87,489,6,40,2018-01-01T06:00:00Z
2018,1,1,731,735,-4,838,855,-17,WN,5,N485WN,PNS,BNA,57,391,7,35,2018-01-01T07:00:00Z
2018,1,1,734,730,4,934,936,-2,AA,14,N9022G,PNS,DFW,97,604,7,30,2018-01-01T07:00:00Z
2018,1,1,800,800,0,1028,1038,-10,AA,17,N768US,PNS,CLT,67,488,8,0,2018-01-01T08:00:00Z
2018,1,1,905,911,-6,1202,1126,36,DL,25,N926AT,PNS,ATL,47,271,9,11,2018-01-01T09:00:00Z
2018,1,1,925,935,-10,1147,1144,3,MQ,42,N854AE,PNS,DFW,104,604,9,35,2018-01-01T09:00:00Z
2018,1,1,1000,950,10,1130,1130,0,WN,4,N714CB,PNS,HOU,80,488,9,50,2018-01-01T09:00:00Z
2018,1,1,1047,1055,-8,1324,1340,-16,OH,57,N568NN,PNS,CLT,63,488,10,55,2018-01-01T10:00:00Z
2018,1,1,1110,1045,25,1318,1304,14,DL,15,N774DE,PNS,ATL,47,271,10,45,2018-01-01T10:00:00Z
2018,1,1,1117,1028,49,1348,1305,43,EV,49,N21537,PNS,ORD,119,794,10,28,2018-01-01T10:00:00Z
2018,1,1,1143,1150,-7,1340,1345,-5,EV,48,N16178,PNS,IAH,97,489,11,50,2018-01-01T11:00:00Z
2018,1,1,1253,1243,10,1522,1525,-3,OH,56,N563NN,PNS,CLT,67,488,12,43,2018-01-01T12:00:00Z
2018,1,1,1254,1200,54,1509,1422,47,DL,13,N965AT,PNS,ATL,43,271,12,0,2018-01-01T12:00:00Z
2018,1,1,1357,1329,28,1605,1535,30,MQ,40,N256NN,PNS,DFW,95,604,13,29,2018-01-01T13:00:00Z
2018,1,1,1431,1435,-4,1657,1720,-23,YX,53,N129HQ,PNS,CLT,67,488,14,35,2018-01-01T14:00:00Z
2018,1,1,1441,1440,1,1651,1701,-10,DL,12,N776DE,PNS,ATL,50,271,14,40,2018-01-01T14:00:00Z
2018,1,1,1501,1504,-3,1642,1701,-19,YV,62,N88310,PNS,IAH,83,489,15,4,2018-01-01T15:00:00Z
2018,1,1,1608,1525,43,1932,1832,60,MQ,35,N227NN,PNS,DCA,119,816,15,25,2018-01-01T15:00:00Z
2018,1,1,1723,1730,-7,2006,2011,-5,MQ,37,N650AE,PNS,MIA,81,530,17,30,2018-01-01T17:00:00Z
2018,1,1,1752,1720,32,1954,1928,26,AA,26,N9004F,PNS,DFW,95,604,17,20,2018-01-01T17:00:00Z
2018,1,1,1950,1940,10,2100,2100,0,WN,1,N794SW,PNS,BNA,59,391,19,40,2018-01-01T19:00:00Z
2018,1,1,2107,1855,132,2304,2101,123,MQ,38,N235NN,PNS,DFW,95,604,18,55,2018-01-01T18:00:00Z
2018,1,1,NA,1835,NA,NA,2030,NA,YV,60,N85354,PNS,IAH,NA,489,18,35,2018-01-01T18:00:00Z
2018,1,2,548,600,-12,832,843,-11,MQ,34,N693AE,PNS,MIA,86,530,6,0,2018-01-02T06:00:00Z
2018,1,2,553,600,-7,758,812,-14,DL,10,N377DE,PNS,ATL,43,271,6,0,2018-01-02T06:00:00Z
2018,1,2,714,715,-1,915,930,-15,DL,8,N993AT,PNS,ATL,42,271,7,15,2018-01-02T07:00:00Z
2018,1,2,720,720,0,834,840,-6,WN,54,N7845A,PNS,BNA,63,391,7,20,2018-01-02T07:00:00Z
2018,1,2,743,730,13,948,936,12,AA,14,N9022G,PNS,DFW,89,604,7,30,2018-01-02T07:00:00Z
2018,1,2,802,800,2,1041,1038,3,AA,17,N717UW,PNS,CLT,71,488,8,0,2018-01-02T08:00:00Z
2018,1,2,910,915,-5,1120,1130,-10,DL,25,N923AT,PNS,ATL,46,271,9,15,2018-01-02T09:00:00Z
2018,1,2,915,920,-5,1114,1115,-1,EV,43,N12563,PNS,IAH,97,489,9,20,2018-01-02T09:00:00Z
2018,1,2,926,935,-9,1128,1144,-16,MQ,42,N663AR,PNS,DFW,99,604,9,35,2018-01-02T09:00:00Z
2018,1,2,938,930,8,1109,1110,-1,WN,46,N416WN,PNS,HOU,80,488,9,30,2018-01-02T09:00:00Z
2018,1,2,953,954,-1,1243,1236,7,MQ,39,N697AB,PNS,MIA,84,530,9,54,2018-01-02T09:00:00Z
2018,1,2,1037,1045,-8,1247,1304,-17,DL,15,N774DE,PNS,ATL,42,271,10,45,2018-01-02T10:00:00Z
2018,1,2,1039,1028,11,1300,1305,-5,EV,49,N27190,PNS,ORD,120,794,10,28,2018-01-02T10:00:00Z
2018,1,2,1100,1100,0,1340,1345,-5,OH,57,N564NN,PNS,CLT,70,488,11,0,2018-01-02T11:00:00Z
2018,1,2,1145,1150,-5,1345,1412,-27,DL,13,N931DL,PNS,ATL,42,271,11,50,2018-01-02T11:00:00Z
2018,1,2,1242,1243,-1,1521,1525,-4,OH,56,N553NN,PNS,CLT,66,488,12,43,2018-01-02T12:00:00Z
2018,1,2,1323,1329,-6,1620,1535,45,MQ,40,N253NN,PNS,DFW,100,604,13,29,2018-01-02T13:00:00Z
2018,1,2,1430,1435,-5,1710,1720,-10,YX,53,N110HQ,PNS,CLT,72,488,14,35,2018-01-02T14:00:00Z
2018,1,2,1434,1440,-6,1640,1701,-21,DL,12,N377DE,PNS,ATL,41,271,14,40,2018-01-02T14:00:00Z
2018,1,2,1508,1504,4,1651,1701,-10,EV,45,N11165,PNS,IAH,84,489,15,4,2018-01-02T15:00:00Z
2018,1,2,1532,1525,7,1829,1832,-3,MQ,35,N230NN,PNS,DCA,102,816,15,25,2018-01-02T15:00:00Z
2018,1,2,1541,1150,231,1731,1345,226,EV,48,N15910,PNS,IAH,88,489,11,50,2018-01-02T11:00:00Z
2018,1,2,1646,1650,-4,1854,1912,-18,DL,20,N957AT,PNS,ATL,45,271,16,50,2018-01-02T16:00:00Z
2018,1,2,1718,1720,-2,1917,1928,-11,AA,26,N70020,PNS,DFW,95,604,17,20,2018-01-02T17:00:00Z
2018,1,2,1749,1730,19,2033,2011,22,MQ,37,N650AE,PNS,MIA,84,530,17,30,2018-01-02T17:00:00Z
2018,1,2,1850,1855,-5,2054,2114,-20,DL,11,N377DE,PNS,ATL,42,271,18,55,2018-01-02T18:00:00Z
2018,1,2,2021,1855,86,2217,2101,76,MQ,38,N248NN,PNS,DFW,97,604,18,55,2018-01-02T18:00:00Z
2018,1,2,2049,1835,134,2233,2030,123,YV,60,N87345,PNS,IAH,85,489,18,35,2018-01-02T18:00:00Z
2018,1,2,2055,2030,25,2200,2150,10,WN,6,N7702A,PNS,BNA,55,391,20,30,2018-01-02T20:00:00Z
2018,1,2,NA,640,NA,NA,835,NA,YV,59,N82338,PNS,IAH,NA,489,6,40,2018-01-02T06:00:00Z
2018,1,3,556,600,-4,758,810,-12,DL,10,N774DE,PNS,ATL,41,271,6,0,2018-01-03T06:00:00Z
2018,1,3,618,600,18,905,843,22,MQ,34,N693AE,PNS,MIA,84,530,6,0,2018-01-03T06:00:00Z
2018,1,3,702,640,22,851,835,16,YV,59,N86334,PNS,IAH,84,489,6,40,2018-01-03T06:00:00Z
2018,1,3,710,715,-5,914,930,-16,DL,8,N775DE,PNS,ATL,42,271,7,15,2018-01-03T07:00:00Z
2018,1,3,728,730,-2,942,936,6,AA,14,N8027D,PNS,DFW,96,604,7,30,2018-01-03T07:00:00Z
2018,1,3,734,735,-1,847,855,-8,WN,5,N552WN,PNS,BNA,61,391,7,35,2018-01-03T07:00:00Z
2018,1,3,755,800,-5,1026,1038,-12,AA,17,N766US,PNS,CLT,67,488,8,0,2018-01-03T08:00:00Z
2018,1,3,910,920,-10,1058,1115,-17,EV,43,N12528,PNS,IAH,89,489,9,20,2018-01-03T09:00:00Z
2018,1,3,945,935,10,1154,1144,10,MQ,42,N667GB,PNS,DFW,102,604,9,35,2018-01-03T09:00:00Z
2018,1,3,945,950,-5,1124,1130,-6,WN,4,N294WN,PNS,HOU,80,488,9,50,2018-01-03T09:00:00Z
2018,1,3,948,955,-7,1150,1208,-18,DL,25,N774DE,PNS,ATL,43,271,9,55,2018-01-03T09:00:00Z
2018,1,3,1036,954,42,1324,1236,48,MQ,39,N697AB,PNS,MIA,90,530,9,54,2018-01-03T09:00:00Z
2018,1,3,1048,1028,20,1333,1305,28,EV,49,N29906,PNS,ORD,123,794,10,28,2018-01-03T10:00:00Z
2018,1,3,1049,1100,-11,1332,1345,-13,OH,57,N593NN,PNS,CLT,65,488,11,0,2018-01-03T11:00:00Z
2018,1,3,1133,1122,11,1330,1340,-10,DL,13,N775DE,PNS,ATL,43,271,11,22,2018-01-03T11:00:00Z
2018,1,3,1138,1150,-12,1319,1345,-26,EV,48,N14158,PNS,IAH,87,489,11,50,2018-01-03T11:00:00Z
2018,1,3,1236,1243,-7,1508,1525,-17,OH,56,N583NN,PNS,CLT,65,488,12,43,2018-01-03T12:00:00Z
2018,1,3,1335,1329,6,1537,1535,2,MQ,40,N230NN,PNS,DFW,98,604,13,29,2018-01-03T13:00:00Z
2018,1,3,1442,1445,-3,1647,1706,-19,DL,29,N774DE,PNS,ATL,47,271,14,45,2018-01-03T14:00:00Z
2018,1,3,1503,1504,-1,1647,1701,-14,EV,45,N12163,PNS,IAH,84,489,15,4,2018-01-03T15:00:00Z
2018,1,3,1536,1435,61,1810,1720,50,YX,53,N112HQ,PNS,CLT,64,488,14,35,2018-01-03T14:00:00Z
2018,1,3,1637,1645,-8,1900,1906,-6,DL,12,N377DE,PNS,ATL,48,271,16,45,2018-01-03T16:00:00Z
2018,1,3,1650,1525,85,1952,1832,80,MQ,35,N248NN,PNS,DCA,105,816,15,25,2018-01-03T15:00:00Z
2018,1,3,1718,1720,-2,1917,1928,-11,AA,26,N70020,PNS,DFW,92,604,17,20,2018-01-03T17:00:00Z
2018,1,3,1726,1730,-4,2007,2011,-4,MQ,37,N655AE,PNS,MIA,86,530,17,30,2018-01-03T17:00:00Z
2018,1,3,1825,1835,-10,2005,2030,-25,YV,60,N85354,PNS,IAH,82,489,18,35,2018-01-03T18:00:00Z
2018,1,3,1843,1855,-12,2108,2101,7,MQ,38,N245NN,PNS,DFW,99,604,18,55,2018-01-03T18:00:00Z
2018,1,3,1848,1856,-8,2056,2114,-18,DL,11,N775DE,PNS,ATL,49,271,18,56,2018-01-03T18:00:00Z
2018,1,3,1946,1940,6,2057,2100,-3,WN,1,N257WN,PNS,BNA,61,391,19,40,2018-01-03T19:00:00Z
2018,1,4,551,600,-9,834,843,-9,MQ,34,N650AE,PNS,MIA,79,530,6,0,2018-01-04T06:00:00Z
2018,1,4,554,600,-6,800,810,-10,DL,10,N377DE,PNS,ATL,46,271,6,0,2018-01-04T06:00:00Z
2018,1,4,709,715,-6,911,930,-19,DL,8,N776DE,PNS,ATL,46,271,7,15,2018-01-04T07:00:00Z
2018,1,4,730,730,0,939,936,3,AA,14,N9002U,PNS,DFW,97,604,7,30,2018-01-04T07:00:00Z
2018,1,4,737,735,2,857,855,2,WN,5,N924WN,PNS,BNA,67,391,7,35,2018-01-04T07:00:00Z
2018,1,4,753,800,-7,1028,1038,-10,AA,17,N721UW,PNS,CLT,76,488,8,0,2018-01-04T08:00:00Z
2018,1,4,916,920,-4,1110,1115,-5,EV,43,N12567,PNS,IAH,92,489,9,20,2018-01-04T09:00:00Z
2018,1,4,926,935,-9,1149,1144,5,MQ,42,N661JA,PNS,DFW,114,604,9,35,2018-01-04T09:00:00Z
2018,1,4,949,954,-5,1229,1236,-7,MQ,39,N900AE,PNS,MIA,78,530,9,54,2018-01-04T09:00:00Z
2018,1,4,949,950,-1,1128,1130,-2,WN,4,N400WN,PNS,HOU,87,488,9,50,2018-01-04T09:00:00Z
2018,1,4,949,955,-6,1154,1208,-14,DL,25,N377DE,PNS,ATL,46,271,9,55,2018-01-04T09:00:00Z
2018,1,4,1013,1028,-15,1240,1305,-25,EV,49,N11189,PNS,ORD,128,794,10,28,2018-01-04T10:00:00Z
2018,1,4,1052,1100,-8,1324,1345,-21,OH,57,N569NN,PNS,CLT,67,488,11,0,2018-01-04T11:00:00Z
2018,1,4,1117,1122,-5,1333,1340,-7,DL,13,N776DE,PNS,ATL,47,271,11,22,2018-01-04T11:00:00Z
2018,1,4,1152,1150,2,1333,1345,-12,EV,48,N27152,PNS,IAH,83,489,11,50,2018-01-04T11:00:00Z
2018,1,4,1229,1243,-14,1504,1525,-21,OH,56,N577NN,PNS,CLT,66,488,12,43,2018-01-04T12:00:00Z
2018,1,4,1334,1329,5,1539,1535,4,MQ,40,N248NN,PNS,DFW,105,604,13,29,2018-01-04T13:00:00Z
2018,1,4,1432,1435,-3,1708,1720,-12,YX,53,N434YX,PNS,CLT,69,488,14,35,2018-01-04T14:00:00Z
2018,1,4,1436,1445,-9,1642,1706,-24,DL,29,N377DE,PNS,ATL,46,271,14,45,2018-01-04T14:00:00Z
2018,1,4,1455,1504,-9,1638,1701,-23,EV,45,N11184,PNS,IAH,86,489,15,4,2018-01-04T15:00:00Z
2018,1,4,1518,1525,-7,1827,1832,-5,MQ,35,N239NN,PNS,DCA,109,816,15,25,2018-01-04T15:00:00Z
2018,1,4,1633,1645,-12,1847,1906,-19,DL,12,N775DE,PNS,ATL,44,271,16,45,2018-01-04T16:00:00Z
2018,1,4,1712,1720,-8,1911,1928,-17,AA,26,N4032T,PNS,DFW,94,604,17,20,2018-01-04T17:00:00Z
