year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,645,645,0,925,907,18,G4,7,252NV,SFB,ABE,116,882,6,45,2018-01-01T06:00:00Z
2018,1,1,650,650,0,850,848,2,G4,52,255NV,SFB,CID,153,1078,6,50,2018-01-01T06:00:00Z
2018,1,1,653,655,-2,922,926,-4,G4,39,249NV,SFB,FSD,192,1334,6,55,2018-01-01T06:00:00Z
2018,1,1,712,700,12,913,906,7,G4,10,224NV,SFB,HGR,104,780,7,0,2018-01-01T07:00:00Z
2018,1,1,715,705,10,824,806,18,G4,37,231NV,SFB,OWB,105,706,7,5,2018-01-01T07:00:00Z
2018,1,1,1012,1013,-1,1207,1205,2,G4,69,871GA,SFB,TUL,153,995,10,13,2018-01-01T10:00:00Z
2018,1,1,1226,1230,-4,1453,1459,-6,G4,47,878GA,SFB,SBN,130,936,12,30,2018-01-01T12:00:00Z
2018,1,1,1333,1230,63,1623,1516,67,G4,66,231NV,SFB,PBG,145,1175,12,30,2018-01-01T12:00:00Z
2018,1,1,1337,1245,52,1500,1410,50,G4,78,230NV,SFB,AVL,64,465,12,45,2018-01-01T12:00:00Z
2018,1,1,1340,1321,19,1510,1456,14,G4,31,216NV,SFB,TYS,75,511,13,21,2018-01-01T13:00:00Z
2018,1,1,1354,1255,59,1645,1532,73,G4,17,224NV,SFB,IAG,128,996,12,55,2018-01-01T12:00:00Z
2018,1,1,1401,1339,22,1551,1534,17,G4,11,412NV,SFB,HTS,90,665,13,39,2018-01-01T13:00:00Z
2018,1,1,1506,1403,63,1749,1647,62,G4,24,255NV,SFB,FNT,143,988,14,3,2018-01-01T14:00:00Z
2018,1,1,1508,1500,8,1732,1717,15,G4,3,402NV,SFB,YNG,119,861,15,0,2018-01-01T15:00:00Z
2018,1,1,1516,1516,0,1757,1754,3,G4,27,249NV,SFB,GRR,139,1001,15,16,2018-01-01T15:00:00Z
2018,1,1,1533,1502,31,1715,1649,26,G4,33,881GA,SFB,ROA,82,594,15,2,2018-01-01T15:00:00Z
2018,1,1,1551,1537,14,1734,1714,20,G4,25,418NV,SFB,SGF,142,914,15,37,2018-01-01T15:00:00Z
2018,1,1,1619,1540,39,1815,1749,26,G4,70,327NV,SFB,CVG,99,735,15,40,2018-01-01T15:00:00Z
2018,1,1,1636,1637,-1,1855,1900,-5,G4,65,423NV,SFB,TOL,122,895,16,37,2018-01-01T16:00:00Z
