year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,1,1,531,525,6,637,648,-11,OH,34,N723PS,TLH,CLT,55,386,5,25,2018-01-01T05:00:00Z
2018,1,1,614,620,-6,728,745,-17,MQ,19,N650AE,TLH,MIA,58,402,6,20,2018-01-01T06:00:00Z
2018,1,1,701,701,0,820,830,-10,OH,24,N549NN,TLH,CLT,55,386,7,1,2018-01-01T07:00:00Z
2018,1,1,746,745,1,847,858,-11,DL,2,N940AT,TLH,ATL,44,223,7,45,2018-01-01T07:00:00Z
2018,1,1,1057,1057,0,1218,1229,-11,OH,21,N588NN,TLH,CLT,56,386,10,57,2018-01-01T10:00:00Z
2018,1,1,1248,1145,63,1349,1253,56,9E,20,N8847A,TLH,ATL,41,223,11,45,2018-01-01T11:00:00Z
2018,1,1,1605,1515,50,1709,1628,41,9E,12,N8775A,TLH,ATL,47,223,15,15,2018-01-01T15:00:00Z
2018,1,1,1708,1629,39,1852,1800,52,MQ,18,N260NN,TLH,DFW,121,767,16,29,2018-01-01T16:00:00Z
2018,1,1,1736,1721,15,1904,1845,19,MQ,14,N931AE,TLH,MIA,68,402,17,21,2018-01-01T17:00:00Z
2018,1,1,1749,1512,157,1904,1645,139,OH,22,N559NN,TLH,CLT,60,386,15,12,2018-01-01T15:00:00Z
2018,1,1,1755,1759,-4,1906,1911,-5,EV,25,N391CA,TLH,ATL,48,223,17,59,2018-01-01T17:00:00Z
2018,1,1,1814,1756,18,1926,1930,-4,OH,29,N718PS,TLH,CLT,57,386,17,56,2018-01-01T17:00:00Z
2018,1,1,NA,830,NA,NA,1003,NA,MQ,17,N250NN,TLH,DFW,NA,767,8,30,2018-01-01T08:00:00Z
2018,1,2,553,600,-7,652,707,-15,DL,8,N926AT,TLH,ATL,41,223,6,0,2018-01-02T06:00:00Z
2018,1,2,609,525,44,719,648,31,OH,34,N709PS,TLH,CLT,59,386,5,25,2018-01-02T05:00:00Z
2018,1,2,615,620,-5,757,745,12,MQ,19,N697AB,TLH,MIA,79,402,6,20,2018-01-02T06:00:00Z
2018,1,2,700,701,-1,830,830,0,OH,24,N600NN,TLH,CLT,65,386,7,1,2018-01-02T07:00:00Z
2018,1,2,737,745,-8,846,859,-13,EV,23,N754EV,TLH,ATL,43,223,7,45,2018-01-02T07:00:00Z
2018,1,2,840,830,10,1004,1003,1,MQ,17,N257NN,TLH,DFW,120,767,8,30,2018-01-02T08:00:00Z
2018,1,2,1001,1005,-4,1114,1113,1,9E,13,N8883E,TLH,ATL,46,223,10,5,2018-01-02T10:00:00Z
2018,1,2,1117,1057,20,1240,1229,11,OH,21,N567NN,TLH,CLT,57,386,10,57,2018-01-02T10:00:00Z
2018,1,2,1523,1300,143,1624,1413,131,9E,11,N8869B,TLH,ATL,42,223,13,0,2018-01-02T13:00:00Z
2018,1,2,1524,1512,12,1707,1645,22,OH,22,N562NN,TLH,CLT,67,386,15,12,2018-01-02T15:00:00Z
2018,1,2,1757,1801,-4,1859,1913,-14,EV,25,N750EV,TLH,ATL,41,223,18,1,2018-01-02T18:00:00Z
2018,1,2,1806,1756,10,1932,1930,2,OH,29,N723PS,TLH,CLT,58,386,17,56,2018-01-02T17:00:00Z
2018,1,2,1810,1515,175,1924,1628,176,9E,12,N8976E,TLH,ATL,46,223,15,15,2018-01-02T15:00:00Z
2018,1,2,1918,1920,-2,2032,2040,-8,MQ,15,N693AE,TLH,MIA,59,402,19,20,2018-01-02T19:00:00Z
2018,1,2,1933,1721,132,2106,1845,141,MQ,14,N654AE,TLH,MIA,76,402,17,21,2018-01-02T17:00:00Z
2018,1,2,2015,1629,226,2206,1800,246,MQ,18,N263NN,TLH,DFW,124,767,16,29,2018-01-02T16:00:00Z
2018,1,3,531,540,-9,701,647,14,DL,4,N997AT,TLH,ATL,37,223,5,40,2018-01-03T05:00:00Z
2018,1,3,939,700,159,1039,808,151,DL,6,N940AT,TLH,ATL,43,223,7,0,2018-01-03T07:00:00Z
2018,1,3,1105,1058,7,1204,1204,0,EV,31,N166PQ,TLH,ATL,44,223,10,58,2018-01-03T10:00:00Z
2018,1,3,1305,1302,3,1405,1416,-11,DL,10,N959AT,TLH,ATL,45,223,13,2,2018-01-03T13:00:00Z
2018,1,3,1525,1530,-5,1638,1644,-6,EV,27,N750EV,TLH,ATL,46,223,15,30,2018-01-03T15:00:00Z
2018,1,3,1530,1512,18,1655,1645,10,OH,22,N564NN,TLH,CLT,56,386,15,12,2018-01-03T15:00:00Z
2018,1,3,1629,1629,0,1801,1800,1,MQ,18,N253NN,TLH,DFW,119,767,16,29,2018-01-03T16:00:00Z
2018,1,3,1730,1721,9,1848,1845,3,MQ,14,N662EH,TLH,MIA,63,402,17,21,2018-01-03T17:00:00Z
2018,1,3,1758,1800,-2,1900,1915,-15,DL,5,N928AT,TLH,ATL,46,223,18,0,2018-01-03T18:00:00Z
2018,1,3,1914,1920,-6,2035,2040,-5,MQ,15,N693AE,TLH,MIA,62,402,19,20,2018-01-03T19:00:00Z
2018,1,3,1948,1756,112,2113,1930,103,OH,29,N516AE,TLH,CLT,62,386,17,56,2018-01-03T17:00:00Z
2018,1,3,NA,830,NA,NA,1003,NA,MQ,17,N233NN,TLH,DFW,NA,767,8,30,2018-01-03T08:00:00Z
2018,1,3,NA,620,NA,NA,745,NA,MQ,19,N900AE,TLH,MIA,NA,402,6,20,2018-01-03T06:00:00Z
2018,1,3,NA,525,NA,NA,648,NA,OH,34,NA,TLH,CLT,NA,386,5,25,2018-01-03T05:00:00Z
2018,1,3,NA,701,NA,NA,830,NA,OH,24,NA,TLH,CLT,NA,386,7,1,2018-01-03T07:00:00Z
2018,1,3,NA,1057,NA,NA,1229,NA,OH,21,N556NN,TLH,CLT,NA,386,10,57,2018-01-03T10:00:00Z
2018,1,4,541,540,1,649,647,2,DL,4,N995AT,TLH,ATL,46,223,5,40,2018-01-04T05:00:00Z
2018,1,4,625,620,5,743,745,-2,MQ,19,N694AE,TLH,MIA,57,402,6,20,2018-01-04T06:00:00Z
2018,1,4,648,525,83,820,648,92,OH,34,N725PS,TLH,CLT,66,386,5,25,2018-01-04T05:00:00Z
2018,1,4,657,700,-3,759,808,-9,DL,6,N949AT,TLH,ATL,46,223,7,0,2018-01-04T07:00:00Z
2018,1,4,736,701,35,859,830,29,OH,24,N569NN,TLH,CLT,61,386,7,1,2018-01-04T07:00:00Z
2018,1,4,833,830,3,1006,1003,3,MQ,17,N257NN,TLH,DFW,136,767,8,30,2018-01-04T08:00:00Z
2018,1,4,1052,1058,-6,1204,1204,0,EV,31,N195PQ,TLH,ATL,52,223,10,58,2018-01-04T10:00:00Z
2018,1,4,1103,1057,6,1226,1229,-3,OH,21,N565NN,TLH,CLT,61,386,10,57,2018-01-04T10:00:00Z
