year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2018,9,1,620,623,-3,733,746,-13,MQ,11,N676AE,TLH,MIA,61,402,6,23,2018-09-01T06:00:00Z
2018,9,1,624,630,-6,717,730,-13,DL,3,N325US,TLH,ATL,37,223,6,30,2018-09-01T06:00:00Z
2018,9,1,644,641,3,757,815,-18,OH,21,N500AE,TLH,CLT,54,386,6,41,2018-09-01T06:00:00Z
2018,9,1,707,710,-3,906,917,-11,OH,18,N505AE,TLH,DCA,102,716,7,10,2018-09-01T07:00:00Z
2018,9,1,742,751,-9,840,916,-36,MQ,16,N250NN,TLH,DFW,104,767,7,51,2018-09-01T07:00:00Z
2018,9,1,743,745,-2,905,851,14,DL,4,N972DL,TLH,ATL,43,223,7,45,2018-09-01T07:00:00Z
2018,9,1,1104,1055,9,1234,1228,6,OH,20,N583NN,TLH,CLT,71,386,10,55,2018-09-01T10:00:00Z
2018,9,1,1243,1245,-2,1357,1355,2,DL,7,N994AT,TLH,ATL,42,223,12,45,2018-09-01T12:00:00Z
2018,9,1,1518,1521,-3,1743,1701,42,OH,22,N584NN,TLH,CLT,65,386,15,21,2018-09-01T15:00:00Z
2018,9,1,1637,1642,-5,1812,1805,7,MQ,15,N232NN,TLH,DFW,114,767,16,42,2018-09-01T16:00:00Z
2018,9,1,1657,1700,-3,1803,1808,-5,DL,5,N977AT,TLH,ATL,43,223,17,0,2018-09-01T17:00:00Z
2018,9,1,1759,1702,57,1914,1827,47,MQ,14,N667GB,TLH,MIA,62,402,17,2,2018-09-01T17:00:00Z
2018,9,1,1808,1808,0,1959,1940,19,OH,19,N545PB,TLH,CLT,56,386,18,8,2018-09-01T18:00:00Z
2018,9,2,624,630,-6,724,731,-7,DL,3,N954DL,TLH,ATL,42,223,6,30,2018-09-02T06:00:00Z
2018,9,2,630,623,7,815,746,29,MQ,11,N658AE,TLH,MIA,86,402,6,23,2018-09-02T06:00:00Z
2018,9,2,743,745,-2,857,850,7,DL,4,N335NW,TLH,ATL,46,223,7,45,2018-09-02T07:00:00Z
2018,9,2,745,751,-6,851,916,-25,MQ,16,N233NN,TLH,DFW,112,767,7,51,2018-09-02T07:00:00Z
2018,9,2,1048,1055,-7,1216,1228,-12,OH,20,N525EA,TLH,CLT,63,386,10,55,2018-09-02T10:00:00Z
2018,9,2,1236,1245,-9,1337,1402,-25,9E,8,N314PQ,TLH,ATL,41,223,12,45,2018-09-02T12:00:00Z
2018,9,2,1240,1231,9,1358,1355,3,MQ,12,N694AE,TLH,MIA,63,402,12,31,2018-09-02T12:00:00Z
2018,9,2,1520,1521,-1,1806,1701,65,OH,22,N561NN,TLH,CLT,65,386,15,21,2018-09-02T15:00:00Z
2018,9,2,1639,1642,-3,1751,1805,-14,MQ,15,N237NN,TLH,DFW,115,767,16,42,2018-09-02T16:00:00Z
2018,9,2,1650,1700,-10,1749,1808,-19,DL,5,N979AT,TLH,ATL,42,223,17,0,2018-09-02T17:00:00Z
2018,9,2,1652,1702,-10,1904,1827,37,MQ,14,N667GB,TLH,MIA,65,402,17,2,2018-09-02T17:00:00Z
2018,9,2,1922,1928,-6,2048,2050,-2,MQ,13,N674RJ,TLH,MIA,66,402,19,28,2018-09-02T19:00:00Z
2018,9,2,2010,2010,0,2142,2141,1,YX,17,N128HQ,TLH,CLT,63,386,20,10,2018-09-02T20:00:00Z
2018,9,3,540,545,-5,642,647,-5,DL,3,N344NW,TLH,ATL,41,223,5,45,2018-09-03T05:00:00Z
2018,9,3,617,623,-6,738,746,-8,MQ,11,N658AE,TLH,MIA,66,402,6,23,2018-09-03T06:00:00Z
2018,9,3,639,641,-2,814,815,-1,OH,21,N520DC,TLH,CLT,73,386,6,41,2018-09-03T06:00:00Z
2018,9,3,656,700,-4,757,803,-6,DL,4,N901DE,TLH,ATL,41,223,7,0,2018-09-03T07:00:00Z
2018,9,3,724,644,40,908,850,18,OH,18,N709PS,TLH,DCA,94,716,6,44,2018-09-03T06:00:00Z
2018,9,3,742,751,-9,844,916,-32,MQ,16,N263NN,TLH,DFW,110,767,7,51,2018-09-03T07:00:00Z
2018,9,3,1032,1021,11,1150,1125,25,9E,20,N293PQ,TLH,ATL,42,223,10,21,2018-09-03T10:00:00Z
2018,9,3,1048,1055,-7,1224,1228,-4,OH,20,N566NN,TLH,CLT,70,386,10,55,2018-09-03T10:00:00Z
2018,9,3,1224,1231,-7,1346,1355,-9,MQ,12,N905JH,TLH,MIA,64,402,12,31,2018-09-03T12:00:00Z
2018,9,3,1241,1246,-5,1340,1358,-18,DL,7,N603AT,TLH,ATL,40,223,12,46,2018-09-03T12:00:00Z
2018,9,3,1515,1518,-3,1625,1626,-1,DL,5,N961AT,TLH,ATL,42,223,15,18,2018-09-03T15:00:00Z
2018,9,3,1601,1521,40,1724,1701,23,OH,22,N578NN,TLH,CLT,58,386,15,21,2018-09-03T15:00:00Z
2018,9,3,1723,1702,21,1850,1827,23,MQ,14,N674RJ,TLH,MIA,66,402,17,2,2018-09-03T17:00:00Z
2018,9,3,1756,1642,74,1908,1805,63,MQ,15,N248NN,TLH,DFW,108,767,16,42,2018-09-03T16:00:00Z
2018,9,3,1808,1808,0,1929,1940,-11,OH,19,N588NN,TLH,CLT,59,386,18,8,2018-09-03T18:00:00Z
2018,9,3,1814,1759,15,1922,1910,12,DL,6,N943DL,TLH,ATL,40,223,17,59,2018-09-03T17:00:00Z
2018,9,3,1943,1950,-7,2048,2058,-10,DL,2,N977AT,TLH,ATL,39,223,19,50,2018-09-03T19:00:00Z
2018,9,3,1958,1928,30,2115,2050,25,MQ,13,N694AE,TLH,MIA,63,402,19,28,2018-09-03T19:00:00Z
2018,9,3,2006,2010,-4,2144,2141,3,YX,17,N107HQ,TLH,CLT,61,386,20,10,2018-09-03T20:00:00Z
2018,9,4,544,545,-1,640,647,-7,DL,3,N378NW,TLH,ATL,38,223,5,45,2018-09-04T05:00:00Z
2018,9,4,613,623,-10,736,746,-10,MQ,11,N941LT,TLH,MIA,65,402,6,23,2018-09-04T06:00:00Z
2018,9,4,644,641,3,812,815,-3,OH,21,N544AE,TLH,CLT,63,386,6,41,2018-09-04T06:00:00Z
2018,9,4,745,751,-6,851,916,-25,MQ,16,N256NN,TLH,DFW,109,767,7,51,2018-09-04T07:00:00Z
2018,9,4,752,700,52,902,803,59,DL,4,N932DL,TLH,ATL,40,223,7,0,2018-09-04T07:00:00Z
2018,9,4,903,644,139,1126,850,156,OH,18,N709PS,TLH,DCA,100,716,6,44,2018-09-04T06:00:00Z
2018,9,4,1015,1021,-6,1125,1125,0,9E,20,N907XJ,TLH,ATL,44,223,10,21,2018-09-04T10:00:00Z
2018,9,4,1059,1055,4,1222,1228,-6,OH,20,N580NN,TLH,CLT,60,386,10,55,2018-09-04T10:00:00Z
2018,9,4,1240,1246,-6,1404,1358,6,DL,7,N982AT,TLH,ATL,39,223,12,46,2018-09-04T12:00:00Z
2018,9,4,1249,1231,18,1413,1355,18,MQ,12,N905JH,TLH,MIA,65,402,12,31,2018-09-04T12:00:00Z
2018,9,4,1518,1518,0,1615,1626,-11,DL,5,N603AT,TLH,ATL,42,223,15,18,2018-09-04T15:00:00Z
2018,9,4,1521,1521,0,1647,1701,-14,OH,22,N598NN,TLH,CLT,63,386,15,21,2018-09-04T15:00:00Z
2018,9,4,1702,1702,0,1829,1827,2,MQ,14,N905JH,TLH,MIA,71,402,17,2,2018-09-04T17:00:00Z
2018,9,4,1736,1642,54,1903,1805,58,MQ,15,N252NN,TLH,DFW,119,767,16,42,2018-09-04T16:00:00Z
2018,9,4,1809,1759,10,1913,1910,3,DL,6,N971DL,TLH,ATL,43,223,17,59,2018-09-04T17:00:00Z
2018,9,4,1819,1808,11,1946,1940,6,OH,19,N585NN,TLH,CLT,56,386,18,8,2018-09-04T18:00:00Z
2018,9,4,1922,1928,-6,2041,2050,-9,MQ,13,N675AE,TLH,MIA,66,402,19,28,2018-09-04T19:00:00Z
2018,9,4,1947,1950,-3,2046,2058,-12,DL,2,N987AT,TLH,ATL,40,223,19,50,2018-09-04T19:00:00Z
2018,9,4,2001,2010,-9,2131,2141,-10,YX,17,N104HQ,TLH,CLT,62,386,20,10,2018-09-04T20:00:00Z
